id,Loan Amount,Term,State,Annual Income,Income Verification Status,Average Account Balance,Due Amount,Home Ownership,Loan Purpose,Due Settlement,Installment Amount,Payment Plan,Approve Loan
48,35000.0, 60 months,IL,123000.0,Verified,4221.0,1104.37,RENT,debt_consolidation,N,1104.37,n,0
688,5025.0, 36 months,TN,16800.0,Not Verified,1315.0,193.84,RENT,debt_consolidation,N,193.84,n,0
538,8000.0, 36 months,NY,75000.0,Not Verified,37128.0,263.78,MORTGAGE,credit_card,Y,263.78,n,1
1790,24000.0, 36 months,TX,110000.0,Verified,3565.0,754.74,RENT,debt_consolidation,Y,754.74,n,1
1328,20000.0, 36 months,CA,68000.0,Partially Verified,6371.0,0.0,RENT,other,Y,834.75,n,0
1739,8000.0, 36 months,CA,38000.0,Partially Verified,2123.0,289.18,RENT,credit_card,N,289.18,n,0
2367,11125.0, 36 months,TX,70000.0,Not Verified,11912.0,343.46,OWN,credit_card,N,343.46,n,1
1068,6000.0, 36 months,HI,60000.0,Partially Verified,2878.0,90.0,RENT,medical,Y,188.69,,1
2391,35000.0, 36 months,AL,80000.0,Verified,13578.0,1247.68,MORTGAGE,debt_consolidation,Y,1247.68,,0
1758,22425.0, 60 months,MD,51000.0,Not Verified,19261.0,21059.35,MORTGAGE,debt_consolidation,N,645.0,n,0
286,32000.0, 36 months,TX,108000.0,Verified,13952.0,666.0,OWN,credit_card,Y,995.26,n,1
2476,3000.0, 36 months,NY,,Not Verified,2441.0,94.0,RENT,vacation,N,94.0,n,1
40,35000.0, 36 months,CA,130000.0,Partially Verified,1933.0,1265.16,RENT,debt_consolidation,N,1265.16,n,0
1452,30000.0, 36 months,VA,250000.0,Verified,34497.0,926.18,MORTGAGE,debt_consolidation,N,926.18,n,1
676,11000.0, 36 months,MS,60000.0,Partially Verified,20596.0,335.0,MORTGAGE,credit_card,Y,362.17,n,1
1622,15000.0, 60 months,PA,70000.0,Not Verified,33961.0,329.44,MORTGAGE,credit_card,N,329.44,n,1
1642,25200.0, 36 months,NC,105000.0,Not Verified,3431.0,16499.35,RENT,debt_consolidation,N,829.68,n,1
206,15000.0, 36 months,AL,107000.0,Not Verified,5161.0,,MORTGAGE,other,Y,494.22,n,1
2035,10200.0, 60 months,LA,34000.0,Not Verified,4607.0,293.38,RENT,debt_consolidation,Y,293.38,n,0
2200,10000.0, 36 months,VA,50000.0,Partially Verified,2591.0,50.0,RENT,debt_consolidation,Y,329.72,n,1
900,4000.0, 36 months,FL,41000.0,Verified,9039.0,138.5,MORTGAGE,debt_consolidation,Y,160.08,n,0
2218,35000.0, 36 months,FL,230000.0,Partially Verified,36261.0,1054.02,MORTGAGE,credit_card,N,1054.02,n,1
1393,7150.0, 36 months,NY,28000.0,Not Verified,514.0,50.0,RENT,major_purchase,Y,271.18,n,0
1486,14000.0, 36 months,NJ,80000.0,Partially Verified,4934.0,506.07,RENT,debt_consolidation,N,506.07,n,0
720,33000.0, 36 months,NV,80000.0,Verified,6449.0,1192.87,MORTGAGE,credit_card,Y,1192.87,n,0
1478,3500.0, 36 months,NY,31000.0,Verified,774.0,115.32,RENT,other,N,115.32,n,1
1934,35000.0, 36 months,OR,110000.0,Verified,17864.0,,MORTGAGE,home_improvement,N,1282.79,n,0
2298,21000.0, 60 months,FL,54000.0,Verified,2466.0,588.87,RENT,credit_card,Y,588.87,n,0
1533,22000.0, 36 months,RI,50000.0,Verified,3114.0,933.82,OWN,debt_consolidation,Y,933.82,n,0
1216,28000.0, 36 months,CO,80000.0,Verified,4048.0,1040.44,RENT,medical,Y,1040.44,n,0
840,10000.0,,UT,44000.0,Verified,4355.0,6765.52,RENT,debt_consolidation,N,385.75,n,0
133,24000.0, 60 months,CA,55000.0,Verified,2310.0,596.34,RENT,debt_consolidation,Y,596.34,n,0
1673,10000.0, 60 months,MN,50000.0,Not Verified,26784.0,219.88,MORTGAGE,credit_card,N,219.88,n,1
1698,30000.0, 36 months,WI,90000.0,Partially Verified,3755.0,1099.53,OWN,credit_card,Y,1099.53,n,0
722,, 60 months,FL,71000.0,Verified,7948.0,50.0,RENT,debt_consolidation,Y,474.88,n,0
653,21850.0, 60 months,CA,86000.0,Verified,7232.0,719.59,RENT,debt_consolidation,N,719.59,n,0
2264,1200.0, 36 months,PA,96000.0,Not Verified,28463.0,39.57,MORTGAGE,other,N,39.57,n,1
1446,4000.0, 36 months,WI,36000.0,Partially Verified,1212.0,3482.05,RENT,credit_card,N,131.89,n,1
1235,15000.0, 36 months,CA,55000.0,Partially Verified,2033.0,534.72,RENT,debt_consolidation,Y,534.72,n,0
890,30000.0, 36 months,NH,132630.0,Partially Verified,1959.0,200.0,OWN,debt_consolidation,Y,943.42,n,1
568,10000.0, 36 months,CO,101400.0,Partially Verified,5023.0,313.32,MORTGAGE,medical,,313.32,n,1
758,20000.0, 36 months,NY,75000.0,Not Verified,3132.0,658.48,MORTGAGE,debt_consolidation,Y,658.48,n,1
2438,12000.0, 60 months,PA,40000.0,Partially Verified,5867.0,50.0,RENT,debt_consolidation,Y,304.66,,0
2255,30525.0, 36 months,WI,90000.0,Verified,35919.0,1103.4,RENT,debt_consolidation,Y,1103.4,n,0
702,4000.0, 36 months,TX,30000.0,Partially Verified,274.0,131.79,RENT,debt_consolidation,N,131.79,n,1
2166,16000.0, 36 months,CA,200000.0,Partially Verified,25935.0,503.16,MORTGAGE,debt_consolidation,,503.16,n,1
2530,8500.0, 36 months,MO,46080.0,Partially Verified,4797.0,280.06,RENT,credit_card,N,280.06,n,1
895,16000.0, 60 months,NJ,76400.0,Not Verified,2669.0,414.97,MORTGAGE,debt_consolidation,Y,414.97,n,0
618,14000.0, 36 months,MA,50000.0,Partially Verified,7016.0,540.05,RENT,debt_consolidation,Y,540.05,n,0
305,6350.0, 36 months,GA,23800.0,Verified,19056.0,196.77,MORTGAGE,debt_consolidation,Y,196.77,n,1
2505,40000.0, 36 months,GA,170000.0,Partially Verified,123856.0,1234.91,MORTGAGE,home_improvement,N,1234.91,n,1
442,12000.0, 36 months,AK,45000.0,Not Verified,3518.0,433.77,OWN,credit_card,N,433.77,n,0
883,2000.0, 36 months,CA,22000.0,Verified,4149.0,72.3,RENT,debt_consolidation,Y,72.3,n,0
157,21000.0, 36 months,MA,80000.0,Not Verified,36320.0,653.14,MORTGAGE,home_improvement,,653.14,n,1
1002,16200.0, 36 months,MO,45000.0,Verified,839.0,50.0,OWN,debt_consolidation,,601.97,n,0
229,10000.0, 36 months,MS,43416.0,Verified,4843.0,392.28,OWN,other,Y,392.28,n,0
505,3375.0, 36 months,NJ,55000.0,Partially Verified,1948.0,111.28,MORTGAGE,credit_card,Y,111.28,n,1
2329,6500.0, 36 months,TX,70000.0,Partially Verified,3625.0,211.24,MORTGAGE,debt_consolidation,Y,211.24,n,1
1580,30000.0, 60 months,FL,76000.0,Verified,2935.0,50.0,RENT,debt_consolidation,Y,985.21,n,0
1161,17000.0, 60 months,WI,38498.0,Not Verified,2233.0,422.41,OWN,debt_consolidation,Y,422.41,n,0
18,3000.0, 36 months,CA,20000.0,Partially Verified,1218.0,50.0,RENT,credit_card,Y,94.35,n,1
200,16425.0, 36 months,CA,78000.0,Partially Verified,41617.0,11290.92,MORTGAGE,debt_consolidation,N,633.59,n,0
392,3600.0, 36 months,TX,70000.0,Partially Verified,15657.0,3633.01,RENT,debt_consolidation,N,111.56,n,1
1043,40000.0, 36 months,CA,190000.0,Verified,5843.0,150.0,RENT,small_business,Y,1318.86,n,1
1981,28000.0, 60 months,CA,95000.0,Verified,8553.0,15988.77,RENT,debt_consolidation,N,785.16,n,0
2170,3000.0, 36 months,CA,53000.0,Verified,2959.0,98.85,RENT,debt_consolidation,Y,98.85,n,1
918,20000.0, 60 months,NY,95000.0,Verified,5134.0,496.95,RENT,credit_card,N,496.95,n,0
1003,3000.0, 36 months,WA,71000.0,Partially Verified,725.0,50.0,RENT,credit_card,Y,93.31,n,1
47,16250.0, 36 months,AL,48000.0,Partially Verified,,637.45,MORTGAGE,debt_consolidation,Y,637.45,n,0
2491,5000.0, 36 months,MN,30000.0,Verified,17596.0,164.86,MORTGAGE,debt_consolidation,Y,164.86,n,1
1710,7000.0, 36 months,NY,24200.0,Partially Verified,1097.0,249.54,RENT,debt_consolidation,Y,249.54,n,0
1716,10000.0,,VA,80000.0,Partially Verified,51136.0,311.02,MORTGAGE,credit_card,N,311.02,n,1
1635,15000.0, 60 months,NY,36000.0,Not Verified,1541.0,420.62,RENT,debt_consolidation,Y,420.62,n,0
529,10000.0, 36 months,CA,30000.0,Partially Verified,1502.0,329.72,RENT,credit_card,Y,329.72,n,1
1888,20000.0, 36 months,CA,70000.0,Partially Verified,3434.0,628.95,RENT,debt_consolidation,Y,628.95,n,1
1663,7000.0, 36 months,NC,54080.0,Not Verified,5927.0,219.33,RENT,debt_consolidation,,219.33,n,1
1841,1200.0, 36 months,MD,75000.0,Partially Verified,,551.4,MORTGAGE,vacation,N,39.0,n,1
1009,14000.0, 60 months,CA,110000.0,Partially Verified,6406.0,13422.24,RENT,other,,441.75,n,0
2246,15000.0, 36 months,TX,29532.0,Verified,1597.0,280.0,OWN,debt_consolidation,Y,494.57,n,1
2202,12650.0, 60 months,NY,33300.0,Verified,1263.0,409.2,RENT,credit_card,Y,409.2,n,0
1832,18825.0, 60 months,TX,50000.0,Partially Verified,11470.0,608.94,MORTGAGE,debt_consolidation,Y,608.94,n,0
2049,3625.0, 36 months,GA,106800.0,Partially Verified,16205.0,119.35,MORTGAGE,debt_consolidation,N,119.35,n,1
254,15000.0,,WI,61000.0,Not Verified,16299.0,534.72,MORTGAGE,debt_consolidation,N,534.72,n,0
1895,3500.0, 36 months,AL,53000.0,Partially Verified,792.0,115.32,MORTGAGE,credit_card,Y,115.32,n,1
1499,28000.0, 60 months,NY,38000.0,Verified,3703.0,785.16,RENT,debt_consolidation,Y,785.16,n,0
300,10000.0, 36 months,GA,65000.0,Partially Verified,,313.32,MORTGAGE,debt_consolidation,N,313.32,n,1
1923,24000.0, 36 months,NM,90125.0,Verified,9395.0,879.63,MORTGAGE,debt_consolidation,Y,,n,0
30,15000.0, 60 months,PA,64000.0,Not Verified,15099.0,329.82,MORTGAGE,debt_consolidation,N,329.82,n,1
1482,4000.0, 36 months,CA,85272.68,Verified,31950.0,158.49,OWN,debt_consolidation,Y,158.49,n,0
1965,35000.0, 36 months,FL,150000.0,Partially Verified,2811.0,1579.08,RENT,house,Y,1503.89,n,0
1210,15300.0, 36 months,CO,60000.0,Not Verified,23004.0,545.42,MORTGAGE,debt_consolidation,Y,545.42,n,0
1330,16800.0, 36 months,CA,250000.0,Partially Verified,4660.0,1083.06,RENT,credit_card,Y,528.32,n,1
517,17000.0, 36 months,IN,42000.0,Verified,6106.0,614.51,RENT,debt_consolidation,N,614.51,n,0
386,20050.0, 36 months,FL,57000.0,Partially Verified,6433.0,745.03,MORTGAGE,debt_consolidation,Y,745.03,n,0
651,16000.0, 36 months,VA,154000.0,Verified,38812.0,501.31,MORTGAGE,medical,N,501.31,n,1
459,8000.0, 36 months,MD,148000.0,Partially Verified,34369.0,8117.95,MORTGAGE,home_improvement,N,263.39,n,1
2286,12000.0, 36 months,IN,93400.0,Partially Verified,5958.0,433.77,MORTGAGE,home_improvement,Y,433.77,n,0
1451,11200.0, 36 months,TX,65125.0,Not Verified,10530.0,369.28,OWN,home_improvement,Y,369.28,n,1
1802,, 36 months,TX,61200.0,Verified,16841.0,329.48,RENT,debt_consolidation,Y,329.48,n,1
672,12000.0, 36 months,CA,35000.0,Verified,6859.0,445.91,RENT,credit_card,Y,445.91,n,0
1803,6000.0, 36 months,CO,50000.0,Partially Verified,3101.0,410.1,RENT,credit_card,Y,197.55,n,1
1373,10000.0, 36 months,CA,,Partially Verified,5649.0,6594.67,MORTGAGE,debt_consolidation,N,329.24,n,1
283,5675.0, 36 months,PA,82000.0,Partially Verified,7180.0,239.34,MORTGAGE,debt_consolidation,Y,239.34,n,0
768,40000.0, 60 months,CA,135000.0,Verified,51536.0,50.0,MORTGAGE,other,Y,877.5,n,1
1626,24000.0, 60 months,PA,90000.0,Not Verified,19819.0,596.34,MORTGAGE,debt_consolidation,N,596.34,n,0
2509,35000.0, 36 months,MO,110000.0,Partially Verified,23695.0,1088.56,MORTGAGE,home_improvement,N,1088.56,n,1
1157,24000.0, 36 months,CA,70000.0,Verified,17260.0,16205.56,OWN,debt_consolidation,N,754.74,,1
661,27600.0, 60 months,TX,84000.0,Not Verified,2168.0,50.0,MORTGAGE,debt_consolidation,Y,606.86,n,1
1473,,,MN,125000.0,Verified,17280.0,6150.25,MORTGAGE,credit_card,N,1161.21,n,0
1139,9600.0, 36 months,LA,45000.0,Not Verified,5905.0,316.07,OWN,debt_consolidation,N,316.07,n,1
1493,30000.0, 36 months,MO,100000.0,Verified,19990.0,943.42,MORTGAGE,debt_consolidation,Y,943.42,n,1
1036,3000.0, 36 months,VA,215000.0,Verified,56754.0,865.07,MORTGAGE,debt_consolidation,N,93.31,n,1
2486,6300.0, 36 months,GA,70000.0,Partially Verified,1417.0,4157.3,RENT,debt_consolidation,N,207.72,n,1
458,35000.0, 60 months,MN,100000.0,Partially Verified,21444.0,2000.0,MORTGAGE,debt_consolidation,Y,1104.37,n,0
2414,12000.0, 36 months,WI,105000.0,Partially Verified,5669.0,395.37,OWN,debt_consolidation,N,395.37,n,1
503,6000.0, 36 months,NV,90000.0,Partially Verified,20579.0,197.55,MORTGAGE,debt_consolidation,Y,197.55,n,1
2000,16000.0, 36 months,MD,60000.0,Partially Verified,6200.0,527.55,RENT,credit_card,Y,527.55,n,1
1603,35000.0, 36 months,CA,208000.0,Verified,7016.0,1386.79,RENT,debt_consolidation,Y,1386.79,n,0
1990,30000.0, 36 months,TX,85000.0,Partially Verified,13617.0,18635.29,MORTGAGE,debt_consolidation,N,939.96,n,1
2327,15000.0, 36 months,TX,86000.0,Not Verified,8311.0,13593.98,MORTGAGE,debt_consolidation,N,463.09,n,1
6,5400.0, 36 months,RI,18000.0,Verified,1682.0,272.17,MORTGAGE,debt_consolidation,Y,216.11,n,0
1254,10000.0, 36 months,NJ,52000.0,Partially Verified,23309.0,314.48,OWN,medical,Y,314.48,n,1
829,22400.0, 60 months,TX,219268.0,Partially Verified,22463.0,492.53,MORTGAGE,debt_consolidation,N,492.53,n,1
828,14400.0, 36 months,AR,82000.0,Partially Verified,5756.0,475.48,MORTGAGE,debt_consolidation,Y,452.84,n,1
2247,18475.0, 60 months,VA,55000.0,Partially Verified,4185.0,50.0,RENT,debt_consolidation,Y,555.78,n,0
1567,8000.0, 36 months,CT,120000.0,Partially Verified,3987.0,263.39,RENT,debt_consolidation,N,263.39,n,1
2463,5000.0, 36 months,KS,85000.0,Verified,34569.0,329.48,MORTGAGE,credit_card,N,164.74,n,1
488,40000.0, 36 months,GA,120000.0,Verified,3341.0,,RENT,debt_consolidation,N,1253.28,n,1
1544,7000.0, 36 months,CA,125000.0,Not Verified,5541.0,1278.96,RENT,credit_card,N,230.64,n,1
1270,10000.0, 60 months,NJ,65000.0,Partially Verified,,248.48,RENT,credit_card,N,248.48,n,0
596,10000.0, 36 months,FL,70000.0,Partially Verified,3211.0,329.48,RENT,major_purchase,Y,329.48,n,1
1279,8000.0, 36 months,TN,53000.0,Not Verified,21956.0,627.95,MORTGAGE,debt_consolidation,N,248.82,n,1
964,15000.0, 36 months,FL,80000.0,Partially Verified,3305.0,197.0,RENT,credit_card,Y,494.57,n,1
444,21000.0, 36 months,NY,96000.0,Verified,31524.0,748.61,MORTGAGE,home_improvement,N,748.61,n,0
161,7200.0, 36 months,MI,60000.0,Partially Verified,17603.0,4753.73,RENT,debt_consolidation,N,237.06,n,1
2423,12000.0, 36 months,AZ,100000.0,Not Verified,6096.0,395.66,RENT,debt_consolidation,Y,395.66,n,1
249,8125.0, 36 months,FL,80000.0,Partially Verified,6384.0,267.51,OWN,debt_consolidation,N,267.51,n,1
1462,7200.0, 36 months,CA,34920.0,Partially Verified,2018.0,263.89,RENT,debt_consolidation,Y,263.89,n,0
1535,9725.0, 36 months,MO,54000.0,Verified,1258.0,381.49,RENT,debt_consolidation,Y,381.49,n,0
923,40000.0, 60 months,UT,90000.0,Verified,22293.0,993.89,MORTGAGE,debt_consolidation,N,993.89,n,0
173,15000.0, 60 months,DC,45000.0,Verified,2774.0,12835.94,RENT,debt_consolidation,N,473.31,n,0
988,10000.0, 36 months,FL,18000.0,Verified,1323.0,338.57,MORTGAGE,debt_consolidation,Y,329.48,n,1
1786,7200.0, 36 months,TX,36000.0,Partially Verified,2670.0,237.4,RENT,debt_consolidation,N,237.4,n,1
2224,10000.0, 60 months,TX,98000.0,Partially Verified,19255.0,239.43,MORTGAGE,vacation,Y,264.89,n,0
2474,10250.0, 60 months,MA,45000.0,Verified,3873.0,308.35,RENT,debt_consolidation,Y,308.35,n,0
665,24000.0, 60 months,NV,135000.0,Not Verified,9913.0,19031.25,RENT,debt_consolidation,N,515.74,n,1
1764,27475.0, 60 months,FL,575000.0,Verified,4933.0,556.97,MORTGAGE,home_improvement,N,,n,1
1023,25000.0, 36 months,VA,135000.0,Not Verified,26467.0,891.2,MORTGAGE,debt_consolidation,Y,891.2,,0
570,, 36 months,FL,160000.0,Verified,20201.0,987.72,MORTGAGE,credit_card,N,987.72,n,1
1864,9600.0, 36 months,CA,70000.0,Partially Verified,20023.0,316.3,OWN,credit_card,Y,316.3,n,1
2015,24000.0, 36 months,MD,82000.0,Not Verified,3741.0,790.74,RENT,debt_consolidation,Y,790.74,,1
933,5000.0, 36 months,NJ,24780.0,Verified,1108.0,164.62,RENT,credit_card,Y,164.62,n,1
1326,25000.0, 36 months,MD,61000.0,Not Verified,24692.0,891.2,MORTGAGE,credit_card,Y,891.2,n,0
574,16000.0, 36 months,NY,116000.0,Partially Verified,87286.0,154.0,MORTGAGE,debt_consolidation,Y,495.8,n,1
991,35000.0, 36 months,NJ,,Partially Verified,25087.0,32198.27,MORTGAGE,debt_consolidation,N,1154.0,n,1
2108,18000.0, 60 months,OK,88000.0,Verified,11735.0,624.58,RENT,debt_consolidation,Y,491.94,n,0
1114,9600.0, 36 months,MI,73000.0,Not Verified,,351.85,RENT,credit_card,Y,351.85,n,0
1741,1850.0, 36 months,SC,38000.0,Partially Verified,2580.0,58.18,OWN,debt_consolidation,N,58.18,n,1
648,4000.0, 36 months,VA,31000.0,Partially Verified,28710.0,168.7,RENT,other,Y,168.7,n,0
852,17525.0, 36 months,MA,54800.0,Verified,2787.0,651.21,RENT,debt_consolidation,Y,651.21,n,0
1500,20000.0, 60 months,NY,47000.0,Verified,1829.0,496.95,RENT,debt_consolidation,Y,496.95,n,0
342,10000.0, 36 months,NY,72000.0,Partially Verified,13688.0,329.48,,debt_consolidation,Y,329.48,n,1
1421,7400.0, 36 months,AL,45000.0,Not Verified,14759.0,274.98,OWN,debt_consolidation,Y,274.98,n,0
1665,5000.0, 36 months,AZ,30000.0,Not Verified,10775.0,154.37,MORTGAGE,home_improvement,N,154.37,n,1
1059,2000.0, 36 months,NY,26000.0,Verified,1981.0,80.04,RENT,debt_consolidation,Y,80.04,n,0
995,35000.0, 36 months,CA,86000.0,Verified,3336.0,1247.68,RENT,debt_consolidation,Y,1247.68,n,0
1789,6000.0, 36 months,KS,73000.0,Not Verified,21520.0,197.55,MORTGAGE,home_improvement,Y,197.55,n,1
727,8975.0, 36 months,MO,,Not Verified,,378.51,RENT,debt_consolidation,Y,378.51,n,0
2220,8400.0,,TX,46000.0,Verified,4145.0,354.26,OWN,debt_consolidation,Y,354.26,n,0
1074,6000.0, 36 months,CA,,Verified,2156.0,216.89,RENT,debt_consolidation,Y,216.89,n,0
43,12000.0, 36 months,NY,78000.0,Not Verified,5279.0,10576.08,OWN,debt_consolidation,N,370.48,n,1
1658,4000.0, 36 months,VA,31200.0,Verified,2951.0,188.0,RENT,debt_consolidation,Y,142.6,n,0
483,12000.0, 60 months,CA,70000.0,Verified,7987.0,8249.8,RENT,debt_consolidation,N,393.72,n,0
80,18000.0, 36 months,CA,66000.0,Verified,50374.0,584.96,MORTGAGE,credit_card,Y,584.96,n,1
1809,10000.0, 36 months,CA,100000.0,Not Verified,21782.0,50.0,RENT,credit_card,Y,329.24,n,1
270,, 60 months,MD,107435.0,Verified,,734.69,MORTGAGE,debt_consolidation,,734.69,n,0
1590,2500.0, 36 months,WI,30000.0,Partially Verified,3375.0,78.62,RENT,moving,Y,78.62,n,1
2068,11200.0, 36 months,CA,30000.0,Verified,4112.0,,RENT,credit_card,Y,369.28,n,1
1049,4000.0, 36 months,AZ,106000.0,Partially Verified,21169.0,2083.99,MORTGAGE,vacation,N,131.89,n,1
475,11925.0, 36 months,MN,70000.0,Partially Verified,4700.0,437.07,MORTGAGE,debt_consolidation,N,437.07,n,0
532,20000.0, 60 months,OH,58231.0,Verified,8810.0,7.51,MORTGAGE,debt_consolidation,N,496.95,n,0
1825,30000.0, 36 months,TN,50000.0,Partially Verified,5984.0,1114.76,MORTGAGE,credit_card,Y,1114.76,n,0
299,12000.0, 36 months,NY,60000.0,Partially Verified,1437.0,373.22,RENT,credit_card,N,373.22,n,1
1013,16075.0, 36 months,NY,154000.0,Verified,12994.0,573.04,,debt_consolidation,Y,573.04,n,0
905,2000.0, 36 months,CA,25000.0,Partially Verified,1338.0,65.9,RENT,vacation,Y,65.9,n,1
233,15200.0, 36 months,NC,70000.0,Verified,3165.0,549.45,MORTGAGE,debt_consolidation,Y,549.45,n,0
1939,30000.0, 36 months,NC,199992.0,Partially Verified,20888.0,903.45,MORTGAGE,debt_consolidation,N,903.45,n,1
2528,14700.0, 60 months,CO,90000.0,Verified,20085.0,373.21,MORTGAGE,home_improvement,Y,373.21,n,0
2390,11700.0, 60 months,CA,70000.0,Partially Verified,22520.0,427.1,MORTGAGE,debt_consolidation,Y,351.97,n,0
287,16000.0, 36 months,FL,210000.0,Partially Verified,,481.84,MORTGAGE,home_improvement,N,481.84,n,1
2396,, 36 months,OH,89000.0,Partially Verified,3930.0,658.95,OWN,debt_consolidation,,658.95,n,1
733,24000.0, 36 months,FL,90000.0,Partially Verified,,25.0,MORTGAGE,debt_consolidation,Y,754.74,,1
512,16700.0, 36 months,TX,38000.0,Partially Verified,2210.0,184.0,OWN,debt_consolidation,Y,612.08,n,0
2450,10400.0, 60 months,NM,66900.0,Partially Verified,3965.0,275.48,MORTGAGE,debt_consolidation,,275.48,n,0
2253,2000.0, 36 months,MA,54996.0,Partially Verified,9107.0,62.21,OWN,credit_card,N,62.21,n,1
655,32000.0, 36 months,AZ,146000.0,Partially Verified,46870.0,20332.54,MORTGAGE,debt_consolidation,N,1053.56,n,1
2085,3000.0, 36 months,OH,60000.0,Not Verified,24146.0,219.22,MORTGAGE,major_purchase,N,98.92,n,1
553,, 36 months,PA,63000.0,Verified,16049.0,628.95,MORTGAGE,debt_consolidation,Y,628.95,n,1
1079,10000.0,,TX,66000.0,Partially Verified,2487.0,366.51,RENT,credit_card,Y,366.51,n,0
279,1200.0, 36 months,CA,104000.0,Partially Verified,5025.0,43.38,RENT,other,N,43.38,n,0
1047,10000.0, 36 months,NC,97000.0,Partially Verified,5123.0,329.72,OWN,debt_consolidation,Y,,n,1
663,9100.0, 36 months,FL,26000.0,Not Verified,4089.0,919.61,RENT,credit_card,Y,351.03,n,0
250,6000.0, 36 months,FL,85000.0,Not Verified,25208.0,186.61,MORTGAGE,other,Y,186.61,n,1
169,14000.0, 36 months,CO,48000.0,Partially Verified,,584.33,MORTGAGE,debt_consolidation,Y,584.33,n,0
1347,15000.0, 60 months,NY,82000.0,Partially Verified,2020.0,15063.71,OWN,other,N,372.71,n,0
1681,5900.0, 36 months,MD,35000.0,,1874.0,185.54,RENT,home_improvement,N,185.54,n,1
